Document,Path,Term,Definition
הוראת תעס השמה חוץ ביתית - משה,14.30/,מעון,"מקום המשמש או הנועד לשמש, כולו או חלקו, מקום מגורים או מקום שהיה לילדים, לזקנים, לבעלי מום גופני, או ללוקים בשכלם, והכל כשהם מחוץ למשפחתם, או מוסד כמשמעותו בחוק הפיקוח על מוסדות לטיפול במשתמשים בסמים, התשנ""ג-1993 המשמש או שנועד לשמש לטיפול."
הוראת תעס השמה חוץ ביתית - משה,14.30/,מעון,פנימייה מוגדר או משמש ל-60 דיירים ומעלה הוסטל מוגדר או משמש עד 24 דיירים בית קבוצתי מוגדר או משמש עד 18 דיירים
הוראת תעס השמה חוץ ביתית - משה,14.30/,שלוחה מהווה חלק מרצף הדיור התומך של מעון,"פנימיה. ממוקמת בקהילה, מוגדרת או משמשת עד 18 דיירים. דירה מוגדרת או משמשת עד 6 דיירים"
הוראת תעס השמה חוץ ביתית - משה,14.30/,משפחה אומנת,"כהגדרתה בהוראה 14.2 בתע""ס"
הוראת תעס השמה חוץ ביתית - משה,14.30/,ועדת השמה מחוזית,ועדה שתפקידה להמליץ לאדם המועמד להשמה על המסגרת המותאמת לצרכיו.
הוראת תעס השמה חוץ ביתית - משה,14.30/,מפקח ארצי על ההשמה,אחראי לפעילותן של ועדות ההשמה המחוזיות ומרכז את הנושאים הקשורים לתחום ההשמה.
כללי התנהגות של עובדי מינהל וזכאות (2),2.13/,בכללים אלו,
כללי התנהגות של עובדי מינהל וזכאות (2),2.13/,"""עובד מינהל וזכאות""","מי שסיים קורס הנערך ע""י משרד הרווחה והשירותים החברתיים וברשותו אישור על סיום הקורס, ומשתלם מעת לעת."
כללי התנהגות של עובדי מינהל וזכאות (2),2.13/,"""לקוח""","אדם הפונה בין עצמו או בין ע""י אדם אחר לקבלת עזרה או טיפול של עובד סוציאלי לרבות מי שמטופל עפ""י דין."
משפחות אומנה מפגרים,14.2/,אדם עם פיגור שכלי,"מי שהוכר ע""י וועדת אבחון עפ""י חוק הסעד (טיפול במפגרים) תשכ""ט 1969."
משפחות אומנה מפגרים,14.2/,משפחת אומנה,"משפחה שיש בה אב ואם ורצוי שיהיו בה ילדים של בני הזוג, אשר אושרה ע""י משרד הרווחה והשרותים החברתיים לשמש כמשפחת"
משפחות אומנה מפגרים,14.2/,אומנה. במקרים חריגים תאושר משפחה חד,הורית.
משפחות אומנה מפגרים,14.2/,וועדה מחוזית לסדור באומנה,"וועדה הדנה בעניינו של מועמד לסדור באומנה ומחליטה לגבי הצורך בסידורו באומנה. כמו כן, הווועדה תקבע את מאפייני המשפחה המתאימה למועמד."
משפחות אומנה מפגרים,14.2/,ארגון מפעיל,ארגון שזכה במכרז של משרד הרווחה לגיוס וליווי של משפחות אומנה לאנשים עם פיגור שכלי.
סידור אנשים עם פיגור שכלי במשפחות אומנה,14.2/,אדם עם פיגור שכלי,"מי שהוכר ע""י ועדת אבחון עפ""י חוק הסעד (טיפול במפגרים) תשכ""ט 1969."
סידור אנשים עם פיגור שכלי במשפחות אומנה,14.2/,משפחת אומנה,"משפחה שיש בה אב ואם ורצוי שיהיו בה ילדים של בני הזוג אשר עברה תהליך בדיקה לפי סעיף 5 להלן , הומלצה ע""י עמותה מפעילת אומנה ואושרה ע""י המפקח המחוזי בתחום האומנה של האגף לטיפול באדם עם פיגור שכלי של משרד הרווחה והשירותים החברתיים לשמש כמשפחה אומנת."
סידור אנשים עם פיגור שכלי במשפחות אומנה,14.2/,ועדה מחוזית לסדור באומנה,ועדה הדנה בעניינו של מועמד לסדור באומנה ומחליטה לגבי הצורך בסידורו באומנה. כמו כן הוועדה תקבע את מאפייני המשפחה המתאימה למועמד.
סידור אנשים עם פיגור שכלי במשפחות אומנה,14.2/,ארגון מפעיל,ארגון שזכה במכרז של משרד הרווחה לגיוס וליווי של משפחות אומנה לאנשים עם פיגור שכלי.
סידור אנשים עם פיגור שכלי במשפחות אומנה,14.2/,ועדת הערכה,"הועדה הדנה אחת לשנתיים , בהתקדמות ושינויים שחלו אצל המושם ובמתן הנחיות לשינויים ועדכון התכנית הטיפולית. משתתפים:ההורים/ האפוטרופוס,ההורים האומנים,ההורים הביולוגיים עו""ס המשפחה נציגי המסגרות ונציגים רלונטים אחרים."
סידור אנשים עם פיגור שכלי במשפחות אומנה,14.2/,ועדת אבחון,כהגדרתה בהוראה 14.23
תעס מדיניות התערבות בפרט ובמשפחה 2015,3.1/,משפחה,"צרוף של שניים או יותר אנשים המקושרים ביניהם לאורך זמן בקשר של הסכמה הדדית, לידה או אימוץ ושמקבלים על עצמם מחויבות לדאגה וטיפול פיזי, טיפוח רגשי, הוספה של חברים חדשים באמצעות לידה או אימוץ, סוציאליזציה של ילדים, בקרה חברתית של החברים, ייצור צריכה וחלוקה של מצרכים ושירותים."
תעס מדיניות התערבות בפרט ובמשפחה 2015,3.1/,משפחה מורחבת,קבוצה חברתית המורכבת מהורה אחד או יותר וקרובי משפחה נוספים.
תעס מדיניות התערבות בפרט ובמשפחה 2015,3.1/,פרט,"אדם מעל גיל 18 ועד גיל זקנה על-פי חוק גיל הפרישה תשנ""ד 2004. אוכלוסיית היעד"
תעס מדיניות התערבות בפרט ובמשפחה 2015,3.1/,פרטים או משפחות במצוקה,"פרטים או משפחות המתקשים להתמודד להתמודד עם ארועי החיים. על רקע: חסרים משאבים אישיים, משפחתיים וחברתים."
מדיניות%20ההתערבות%20פרט%20ומשפחה%20-%20עם%20תיקונים1,3.1/,משפחה,"צרוף של שניים או יותר אנשים המקושרים ביניהם לאורך זמן בקשר של הסכמה הדדית, נישואין, לידה או אימוץ ושהמקבלים על עצמם מחויבות לדאגה וטיפול פיזי, טיפוח רגשי, הוספה של חברים חדשים באמצעות לידה או אימוץ, סוציאליזציה של ילדים לחברה, בקרה חברתית של החברים, ייצור צריכה וחלוקה של מצרכים ושירותים."
מדיניות%20ההתערבות%20פרט%20ומשפחה%20-%20עם%20תיקונים1,3.1/,משפחה מורחבת,קבוצה חברתית המורכבת מהורה אחד (או יותר) וקרובי משפחה נוספים.
מדיניות%20ההתערבות%20פרט%20ומשפחה%20-%20עם%20תיקונים1,3.1/,פרט,"אדם מעל גיל 18 ועד גיל זקנה על-פי חוק גיל הפרישה תשנ""ד 2004. אוכלוסיית היעד"
מדיניות%20ההתערבות%20פרט%20ומשפחה%20-%20עם%20תיקונים1,3.1/,פרטים או משפחות במצוקה,"פרטים או משפחות המתקשים להתמודד להתמודד עם אירועי החיים. על רקע: חסרים במשאבים אישיים, משפחתיים, קהילתיים ו/ או וחברתיים. וחברתים."
מדיניות הטיפול בפרט ובמשפחה 3.1,3.1/,משפחה,"שני אנשים או יותר שבניהם מתקיים קשר או שהתקיים בעבר, 		המבוסס על קשר דם ו/או הסדרים חוקיים (כגון: נישואין, אימוץ, 			אפוטרופסות) ו/או חברתיים תרבותיים (כגון: חמולה, משפחה חד מינית) הקשר יכול להתקיים על רצף של הסכמה, הדדיות, מחויבות ותלות. קשר 		שהם, סביבתם או הרשויות, תופסים כמחייב או כבעל השלכות עבורם, 		וכאשר מתקיימים בו אחד או יותר מהתפקודים הבאים: ניהול משק בית 		משותף, דאגה וטיפול פיזי, דאגה אהבה וטיפוח רגשי, הוספה של חברים 		חדשים באמצעות הולדה או אימוץ, סוציאליזציה של ילדים, בקרה חברתית 		של החברים, ייצור צריכה וחלוקה משאבים ושירותים."
מדיניות הטיפול בפרט ובמשפחה 3.1,3.1/,משפחה מורחבת,קבוצה חברתית המורכבת מהורה אחד או יותר 		וקרובי משפחה נוספים.
מדיניות הטיפול בפרט ובמשפחה 3.1,3.1/,פרט,"אדם מעל גיל 18 ועד גיל זקנה על-פי חוק גיל הפרישה תשנ""ד 		2004."
נופשון לנכים,5.5/,נופשון,שהות קצרת מועד במסגרת המותאמת לקליטת אנשים עם נכות.
נופשון לנכים,5.5/,"נופשון ""הקלה""",שהות קצרת מועד בבית משפחה מארחת בקהילה.
מדיניותשיקוםנוער 3,9.1/,התנהגות אסוציאלית,"קושי בקבלת סמכות וחוקי מסגרת, קשיים בהסתגלות חברתית, בעיות התנהגות קשות, שוטטות, עזובה, אלימות, שימוש בחומרים פסיכואקטיביים, דפוסי עבריינות ומפירי חוק."
מדיניותשיקוםנוער 3,9.1/,קשיים רגשיים,"קשיים ביצירת קשר ואמון, קושי בדחיית סיפוקים, דימוי עצמי נמוך ותחושת ניכור."
מימון שירותי רווחה,1.2/,הוצאות רווחה,"הוצאות המוכרות ע""י משרד הרווחה והשירותים החברתיים לצורך השתתפות."
מימון שירותי רווחה,1.2/,דיווח,"דיווח המתקבל במערכת הממוחשבת, על פי תקצירי הרשויות המקומיות, טופסי ""השמה במסגרת"" והוראות תשלום אחרות; או דיווח ידני שערכה הרשות המקומית לפי הנחיות המשרד ומוגש למחוז;"
מימון שירותי רווחה,1.2/,סיווג,"שיעור ההשתתפות של המשרד בהוצאות רווחה של הרשויות המקומיות הוא 75%, במסגרת התקציב/הקצבה לרשות."
מימון שירותי רווחה,1.2/,פרט תקציבי,"פרט, במסגרת חוק התקציב או פרט-הקצבה, שלו מספר סידורי וסכום, וגוף מוסמך החליט להכלילו בתקציב המאושר או בהקצבה שאישר המחוז;"
מימון שירותי רווחה,1.2/,פרט תקציבי מוכר,"פרט בתקציב המחלקה לשירותים חברתיים המבטא נושא בתחום האחריות של משרד הרווחה והשירותים החברתיים, והמשרד אישר להכלילו ברשימת הפרטים שבתקציב הרשות המקומית, הזהים בסימולם ובתוכנם במשרד וברשות המקומית. רשימת הפרטים התקציביים המוכרים והמוסכמים בין משרד הפנים ובין משרד הרווחה והשירותים החברתיים נמסרת מדי שנה לרשויות, ע""י משרד הרווחה והשירותים החברתיים. מספור הפרטים מתואם בין המערכת הממשלתית ובין המערכת המוניציפלית."
מימון שירותי רווחה,1.2/,פירוט הקצבה,"רשימה של פרטי הקצבה המפרטת את הסכומים המרביים לרשות המקומית ו/או המכסות הכמותיות המרביות שאושרו לביצוע בהשתתפות המשרד לשנה תקציבית אחת. הקצבה זו תועבר באישור מנהל המחוז, אחרי שמרכז תקצוב מחוזי וידא כי סה""כ ההקצבה תואם את חוק התקציב. ההקצבה תיעשה באמצעות טופס ""פירוט הקצבה"" וטופס ""שינויים""."
השתתפות הממשלה במימון שכר,1.2/,השתתפות במימון הוצאות רווחה,"בשכר עובדי המחלקות לשירותים חברתיים. המשרד משתתף במימון הוצאות רווחה של הרשויות המקומיות לפי סיווג, כאשר בוצעה ההוצאה לפי הנחיות המשרד ואין ההוצאה עולה על הסכום ו/או המכסה המרביים הנקובים בפירוט ההקצבה לרשות המקומית."
השתתפות הממשלה במימון שכר,1.2/,תקני רווחה,מספר התקנים המאושרים לרשות מקומית נקבע על פי אמות מידה מאושרות ובכפיפות לחוק התקציב.
שילובילדיםחריגיםבמעונות,8.39/,מעון יום,מסגרת יום לילדים בגילאים 0-3 הפועלת עבור ילדים כמוגדר בחוק הפיקוח על המעונות ובהוראה 8.12.
שילובילדיםחריגיםבמעונות,8.39/,משפחתון,"כמופיע בהוראה 8.33 בתע""ס."
שילובילדיםחריגיםבמעונות,8.39/,סייעת,"אישה אשר הוכשרה לתפקיד ע""י גורם אשר אושר לכך ע""י משרד הרווחה. ועדת מחוזית לשילוב ילדים חריגים במעונות יום ומשפחתונים – מורכבת מהחברים הבאים: מפקח/ת שירות ילד ונוער, מפקח/ת השירות לשיקום ומפקח/ת השירות לטיפול באדם המפגר. אוכלוסיית היעד ילדים עד 3 שנים."
מעון רב תכליתי לורד (2),8.37/,"""מעון יום רב תכליתי"" – פועל בין 7:00 בבוקר ל","19:00 בערב, כמסגרת גמישה. שעות השהות הן עפ""י הצורך ובהתאם לתכנית טיפולית שנקבעה לילד ולמשפחתו."
מעון רב תכליתי לורד (2),8.37/,"""הארגון המפעיל""",גוף שזכה במכרז של הרשות המקומית להפעלת מעון היום הרב תכליתי.
מעון רב תכליתי לורד (2),8.37/,צוות מוביל,צוות עבודה שמטרתו לדון ולהתייחס ולקבל החלטות לגבי הפעלת המעון בכללותו. בוחן כיצד לתרגם וליישם את עקרונות המעון בעבודה שוטפת היומיומית תוך שמירה על המדיניות והנהלים.
מעון רב תכליתי לורד (2),8.37/,"""ועדת היגוי מקומית""",מטרתה בניית שותפות מקצועית עם נותני שירותים בקהילה לטובת אוכלוסיית הילדים והוריהם המבקרים במעון.
מעון רב תכליתי לורד (2),8.37/,"""תינוק""",תינוק שעד יום 31 באוגוסט של אותה שנה טרם מלאו לו 15 חודש.
מעון רב תכליתי לורד (2),8.37/,"""פעוט""","עפ""י הגדרתו בחוק פעוטות בסיכון (הזכות למעון יום) התש""ס 2000 בהוראה 8.10 בתע""ס."
מעון רב תכליתי לורד (2),8.37/,"""פעוט סיכון""","כהגדרתו בחוק פעוטות בסיכון (ראה הוראה 8.10 בתע""ס)."
מעון רב תכליתי לורד (2),8.37/,כיתת גן,מיועדת לגילאי 6-3 המגיעים בצהריים למעון הרב תכליתי ממסגרת גני בוקר בקהילה. כל עקרונות המעון הרב תכליתי חלים על הילדים וההורים בקבוצת גיל זו.
מעון רב תכליתי לורד (2),8.37/,ועדת תכנון טיפול והערכה,כהגדרתה בהוראה 8.9.
מעון רב תכליתי לורד (2),8.37/,עובדים טיפוליים,אנשי מקצוע המטפלים בשיטות שונות ומגוונות לקידום ושיקום הילדים ומשפחותיהם.
מרכז ילדים הורים ונתיבים 8.38,8.38/,ילד,מגיל לידה – 18
מרכז ילדים הורים ונתיבים 8.38,8.38/,גיל רך,מגיל לידה- 6
מרכז ילדים הורים ונתיבים 8.38,8.38/,גיל יסודי,6-12
מרכז ילדים הורים ונתיבים 8.38,8.38/,מתבגרים,12-18
מרכז ילדים הורים ונתיבים 8.38,8.38/,מרכז ילדים הורים,"מסגרת טיפולית אינטנסיבית רב-מקצועית הפועלת בדגמים שונים על פי קבוצת גיל: לגיל רך / גיל יסודי /מתבגרים בסיכון והוריהם. המסגרת מתמקדת בשינוי ובשיפור מערכת היחסים בין הילדים להורים, בשיפור ב""איכות ההורות"", במיומנויות הוריות ובשיפור תפקוד הילד. המסגרת מופעלת במבנה פיזי ייחודי הבנוי ומרוהט על פי מתכונת של בית וכוללת, פרט לחדרים המשמשים חדרי טיפול גם פונקציות כמו סלון ומטבח."
מרכז ילדים הורים ונתיבים 8.38,8.38/,מרכז איזורי נייח,מודל זה מתאים ליישובים קטנים הנמצאים בקרבה גיאוגרפית. מחייבהסכמה והתחייבות של הרשויות להפעלה משותפת.
מרכז ילדים הורים ונתיבים 8.38,8.38/,מרכז זה יכלול בין 3,5 רשויות. המבנה של המרכז יהיה במקום קבוע ונגיש לאוכלוסייה של כל היישובים השותפים. תפעל ועדת היגוי משותפת בה יהיו חברים נציגים מכל היישובים.
מרכז ילדים הורים ונתיבים 8.38,8.38/,מרכז איזורי נייד,מודל זה מתאים ליישובים קטנים הנמצאים בקרבה גיאוגרפית אך יש קשיים בנגישות תחבורתית ביניהם. מחייב הסכמה והתחייבות של הרשויות להפעלה משותפת.
מרכז ילדים הורים ונתיבים 8.38,8.38/,מרכז זה יכלול בין 3,"5 רשויות. בכל רשות שותפה יהיה מבנה מתאים לעבודה טיפולית עםהילדים וההורים, אחד המבנים ישמש כמבנה מרכזי בו ישב גם כ""א מנהלי ובו יתקיימו הדרכות, ישיבות וכ""ו. הצוות הטיפולי יגיע לכל רשות לפי התוכנית הטיפולית שתיקבע עם המשפחות ולא פחות מיום אחד קבוע בשבוע. אם הבית/המדריך יתנו לכל יישוב לפחות 0.25% משרה וכך יתקיים רצף טיפולי עם המשפחות גם במהלך השבוע. תפעל ועדת היגוי משותפת בה יהיו חברים נציגים מכל היישובים."
מרכז ילדים הורים ונתיבים 8.38,8.38/,נתיבים להורות,"מסגרת טיפולית אינטנסיבית רב-מקצועית בדגמים שונים, לפעוטות, ילדים, מתבגרים בסיכון ולהוריהם, המתמקדת בשינוי ושיפור מערכת היחסים בין הילדים להוריהם, שיפור ב""איכות ההורות"" ובמיומנויות הוריות ושיפור תפקוד הילדים. הטיפול ב""נתיבים להורות"" יתקיים במבנה פיזי מותאם לצרכים אך לא מחייב את כל הפונקציות של בית כמו מטבח וסלון. במצב זה ובהתאם לאבחון ניתן להגביר יחידות טיפוליות בבית המשפחה."
מרכז ילדים הורים ונתיבים 8.38,8.38/,ועדה לתכנון טיפול והערכה,"כפי הגדרתה בתע""ס 8.9"
מרכז ילדים הורים ונתיבים 8.38,8.38/,מנהל התערבות,"עו""ס המשפחה במחלקה לשירותים חברתיים"
מרכז ילדים הורים ונתיבים 8.38,8.38/,מנהל הטיפול,"מטפל (עו""ס/פסיכולוג) ממרכז ילדים הורים/נתיבים להורות המרכז את הטיפול במסגרת"
מרכז ילדים הורים ונתיבים 8.38,8.38/,רפרנט מהמחלקה לשירותים חברתיים,"מדר""צ/עו""ס בעל נסיון בטיפול בילדים ומשפחות בסיכון."
שירותים בקהילה לילדים עיוורים,6.9/,עיוור,"כהגדרתו בהוראה 6.2 בתע""ס."
שירותים בקהילה לילדים עיוורים,6.9/,גיל בית ספר,6 – 18 שנים.
שירותים בקהילה לילדים עיוורים,6.9/,הגיל הרך 0,6 שנים.
שירותים בקהילה לילדים עיוורים,6.9/,מורה תומכת,_אילנה להשלים_____ אוכלוסיית היעד ילדים עם עיוורון/לקות ראייה עד גיל 21 ובעל תעודת עיוור לקוי ראיה. סל השירותים
הנחיות לטיפול במתמכרים בקהילה  20.11.2011,11.3/,"עו""ס מטפל בנפגעי סמים/אלכוהול","כהגדרתו בהוראה 2.4 בתע""ס."
הנחיות לטיפול במתמכרים בקהילה  20.11.2011,11.3/,"יחידה לטיפול בנפגעי התמכרויות במחלקה לש""ח","מסגרת אמבולטורית, אשר נותנת מענה טיפולי לנפגעי התמכרויות ומהווה חלק מהמחלקה לשירותים חברתיים ברשויות המקומיות. הפעילות מתבצעת על פי תקנות הפיקוח על מוסדות לטיפול במשתמשים בסמים התשנ""ד- 1994 ומצריכה קבלת רישיון להפעלה"
הנחיות לטיפול במתמכרים בקהילה  20.11.2011,11.3/,מסגרת אזורית לטיפול בנפגעי סמים/אלכוהול/הימורים,שזכתה במכרז של משרד הרווחה והשירותים החברתיים לטיפול בנפגעי סמים/אלכוהול/הימורים.
הנחיות לטיפול במתמכרים בקהילה  20.11.2011,11.3/,וועדת אבחון,"כמפורט בתקנות הפיקוח על מעונות (תנאי קבלה ושהייה של מטופלים במעון שהוא מוסד לטיפול סוציאלי) התשנ""ד – 1994 סעיף 5"
הנחיות לטיפול במתמכרים בקהילה  20.11.2011,11.3/,מרכז יום,"מסגרת יומית המופעלת ע""י רשות מקומית המיועדת ל - 20-12 מטופלים בו זמנית הפועלת בקהילה לפי תוכנית שבועית מובנית המבוססת על פעילות קבוצתית. המסגרת פועלת 5 ימים בשבוע, מ- 08.00 – 15.00 ועל פי הצורך בשעות אחה""צ והערב, (כמפורט בהוראה 11.5 מרכז יום לטיפול בנפגעי התמכרויות)ונותנת מענה אזורי."
הנחיות לטיפול במתמכרים בקהילה  20.11.2011,11.3/,סובוטקס,טיפול תרופתי שמיועד למכורים להרואין לצורך אחזקה ממושכת או לצורך ייצוב וגמילה.
טיפול בהתמכרויות בקהילה11 3 (2).DOCרחל אנגלברג 2.7.13.DOCללא שינויים,11.3/,"עו""ס מטפל בנפגעי סמים/אלכוהול","כהגדרתו בהוראה 2.4 בתע""ס."
טיפול בהתמכרויות בקהילה11 3 (2).DOCרחל אנגלברג 2.7.13.DOCללא שינויים,11.3/,"יחידה לטיפול בנפגעי התמכרויות במחלקה לש""ח","מסגרת אמבולטורית, אשר נותנת מענה טיפולי לנפגעי התמכרויות ומהווה חלק מהמחלקה לשירותים חברתיים ברשויות המקומיות. הפעילות מתבצעת על פי תקנות הפיקוח על מוסדות לטיפול במשתמשים בסמים התשנ""ד- 1994 ומצריכה קבלת רישיון להפעלה"
טיפול בהתמכרויות בקהילה11 3 (2).DOCרחל אנגלברג 2.7.13.DOCללא שינויים,11.3/,מסגרת אזורית לטיפול בנפגעי סמים/אלכוהול/הימורים,שזכתה במכרז של משרד הרווחה והשירותים החברתיים לטיפול בנפגעי סמים/אלכוהול/הימורים.
טיפול בהתמכרויות בקהילה11 3 (2).DOCרחל אנגלברג 2.7.13.DOCללא שינויים,11.3/,וועדת אבחון,"כמפורט בתקנות הפיקוח על מעונות (תנאי קבלה ושהייה של מטופלים במעון שהוא מוסד לטיפול סוציאלי) התשנ""ד – 1994 סעיף 5"
טיפול בהתמכרויות בקהילה11 3 (2).DOCרחל אנגלברג 2.7.13.DOCללא שינויים,11.3/,מרכז יום,"מסגרת יומית המופעלת ע""י רשות מקומית המיועדת ל - 20-12 מטופלים בו זמנית הפועלת בקהילה לפי תוכנית שבועית מובנית המבוססת על פעילות קבוצתית. המסגרת פועלת 5 ימים בשבוע, מ- 08.00 – 15.00 ועל פי הצורך בשעות אחה""צ והערב, (כמפורט בהוראה 11.5 מרכז יום לטיפול בנפגעי התמכרויות)ונותנת מענה אזורי."
טיפול בהתמכרויות בקהילה11 3 (2).DOCרחל אנגלברג 2.7.13.DOCללא שינויים,11.3/,סובוטקס,טיפול תרופתי שמיועד למכורים להרואין לצורך אחזקה ממושכת או לצורך ייצוב וגמילה.
זקן קהילה טיוטה,4.4/,"""יחידה משפחתית""",משפחה הכוללת את ההורים ואת ילדיהם עד גיל 18; ילד קטין במסגרת בפנימיה וילדים בשירות החובה או בשירות הלאומי – ייחשבו לנפש במשפחה.
זקן קהילה טיוטה,4.4/,"""זקן""","עפ""י הגדרתו בחוק גיל הפרישה התשס""ד – 2004."
זקן קהילה טיוטה,4.4/,"""הכנסה"" ו""הכנסה ממוצעת לנפש""","עיין הוראה 1.22 ו- 1.23בתע""ס"
זקן קהילה טיוטה,4.4/,ובעניין העצמאיים,"עיין הוראה 1.23 בתע""ס."
זקן קהילה טיוטה,4.4/,"""זקן תשוש""",זקן שמפאת מגבלה בתפקודו זקוק לעזרה חלקית בפעולות היום- יום;
זקן קהילה טיוטה,4.4/,"""זקן תשוש","נפש"" - זקן הסובל מירידה בתחומים כגון הזיכרון, השיפוט וההתמצאות וזקוק להשגחה מתמדת;"
זקן קהילה טיוטה,4.4/,"""זקן סיעודי""",זקן שבריאותו ותפקודו הפיזי והמנטלי ירודים בגלל מחלה כרונית או ליקוי קבוע או זקן הסובל מבעיה רפואית מורכבת הדורשת מעקב רפואי וטיפול 24 שעות ביממה וזקוק לסיוע בטיפול אישי ובניהול משק בית.
הטיפול בזקן בקהילה,4.4/,"""יחידה משפחתית""",משפחה הכוללת את ההורים ואת ילדיהם עד גיל 18; ילד קטין במסגרת בפנימיה וילדים בשירות החובה או בשירות הלאומי – ייחשבו לנפש במשפחה.
הטיפול בזקן בקהילה,4.4/,"""זקן""","עפ""י הגדרתו בחוק גיל הפרישה התשס""ד – 2004."
הטיפול בזקן בקהילה,4.4/,"""הכנסה"" ו""הכנסה ממוצעת לנפש""","עיין הוראה 1.22 ו- 1.23בתע""ס"
הטיפול בזקן בקהילה,4.4/,ובעניין העצמאיים,"עיין הוראה 1.23 בתע""ס."
הטיפול בזקן בקהילה,4.4/,"""זקן תשוש""",זקן שמפאת מגבלה בתפקודו זקוק לעזרה חלקית בפעולות היום- יום;
הטיפול בזקן בקהילה,4.4/,"""זקן תשוש","נפש"" - זקן הסובל מירידה בתחומים כגון הזיכרון, השיפוט וההתמצאות וזקוק להשגחה מתמדת;"
הטיפול בזקן בקהילה,4.4/,"""זקן סיעודי""",זקן שבריאותו ותפקודו הפיזי והמנטלי ירודים בגלל מחלה כרונית או ליקוי קבוע או זקן הסובל מבעיה רפואית מורכבת הדורשת מעקב רפואי וטיפול 24 שעות ביממה וזקוק לסיוע בטיפול אישי ובניהול משק בית.
30.8.16,4.4/,"""יחידה משפחתית""",משפחה הכוללת את ההורים ואת ילדיהם עד גיל 18; ילד קטין במסגרת בפנימיה וילדים בשירות החובה או בשירות הלאומי – ייחשבו לנפש במשפחה.
30.8.16,4.4/,"""אזרח וותיק""","עפ""י הגדרתו בחוק גיל הפרישה התשס""ד – 2004."
30.8.16,4.4/,"""הכנסה"" ו""הכנסה ממוצעת לנפש""","עיין הוראה 1.22 ו- 1.23בתע""ס"
30.8.16,4.4/,ובעניין העצמאיים,"עיין הוראה 1.23 בתע""ס."
30.8.16,4.4/,"""אזרח וותיק תשוש""",אזרח וותיק שמפאת מגבלה בתפקודו זקוק לעזרה חלקית בפעולות היום- יום;
30.8.16,4.4/,"""אזרח וותיק תשוש","נפש"" - אזרח וותיק הסובל מירידה בתחומים כגון הזיכרון, השיפוט וההתמצאות וזקוק להשגחה מתמדת;"
30.8.16,4.4/,"""אזרח וותיק סיעודי""",אזרח וותיק שבריאותו ותפקודו הפיזי והמנטלי ירודים בגלל מחלה כרונית או ליקוי קבוע או אזרח וותיק הסובל מבעיה רפואית מורכבת הדורשת מעקב רפואי וטיפול 24 שעות ביממה וזקוק לסיוע בטיפול אישי ובניהול משק בית.
1.1.17,4.4/,"""יחידה משפחתית""",משפחה הכוללת את ההורים ואת ילדיהם עד גיל 18; ילד קטין במסגרת בפנימיה וילדים בשירות החובה או בשירות הלאומי – ייחשבו לנפש במשפחה.
1.1.17,4.4/,"""אזרח וותיק""","עפ""י הגדרתו בחוק גיל הפרישה התשס""ד – 2004."
1.1.17,4.4/,"""הכנסה"" ו""הכנסה ממוצעת לנפש""","עיין הוראה 1.22 ו- 1.23בתע""ס"
1.1.17,4.4/,ובעניין העצמאיים,"עיין הוראה 1.23 בתע""ס."
1.1.17,4.4/,"""אזרח וותיק תשוש""",אזרח וותיק שמפאת מגבלה בתפקודו זקוק לעזרה חלקית בפעולות היום- יום;
1.1.17,4.4/,"""אזרח וותיק תשוש","נפש"" - אזרח וותיק הסובל מירידה בתחומים כגון הזיכרון, השיפוט וההתמצאות וזקוק להשגחה מתמדת;"
1.1.17,4.4/,"""אזרח וותיק סיעודי""",אזרח וותיק שבריאותו ותפקודו הפיזי והמנטלי ירודים בגלל מחלה כרונית או ליקוי קבוע או אזרח וותיק הסובל מבעיה רפואית מורכבת הדורשת מעקב רפואי וטיפול 24 שעות ביממה וזקוק לסיוע בטיפול אישי ובניהול משק בית.
סיוע ברכישת אביזרי עזר לעיוורים 6.7,6.7/,זכיין,גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול ומכירת מכשירי עזר לאוכלוסיית היעד.
סיוע ברכישת אביזרי עזר לעיוורים 6.7,6.7/,ועדת חריגים/ועדת סבסוד ציוד טכנולוגי,"ממונה על ידי מנכ""ל משרד הרווחה ומורכבת מנציג הנהלת השירות לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות המשרד (ראה הוראה 6.7 בתע""ס)."
סיוע ברכישת אביזרי עזר לעיוורים 6.7,6.7/,ועדה לכניסת מוצרים חדשים,"ממונה ע""י הנהלת השירות לעיוור . הרכב הוועדה כמפורט בסעיף 5 להלן."
סיוע ברכישת אביזרי עזר לעיוורים 6.7,6.7/,וועדה מקצועית עליונה,"ועדה הדנה בהשגה המוגשת על החלטת מטה השירות לעיוור, ראה הוראה 6.21 בתע""ס."
סיוע ברכישת אביזרי עזר לעיוורים 6 7,6.7/,זכיין,גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול ומכירת מכשירי עזר לאוכלוסיית היעד.
סיוע ברכישת אביזרי עזר לעיוורים 6 7,6.7/,ועדת חריגים/ועדת סבסוד ציוד טכנולוגי,"ממונה על ידי מנכ""ל משרד הרווחה ומורכבת מנציג הנהלת השירות לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות המשרד (ראה הוראה 6.7 בתע""ס)."
